boring_id,raw_x_ft,raw_y_ft,raw_xy_crs,total_depth_ft,groundwater_elevation_ft_msl,groundwater_state,started,completed,source_state
CB-CUL-01,248651,212523,UNRESOLVED,30.0,-2.60,OBSERVED,1998-06-18,1998-06-18,PASS_HEADER
CB-CUL-02,248795,211804,UNRESOLVED,15.0,0.19,OBSERVED,1998-06-17,1998-06-17,PASS_HEADER
CB-CUL-03,248955,211084,UNRESOLVED,30.0,6.48,OBSERVED,1998-06-12,1998-06-15,PASS_HEADER
CB-CUL-04,248336,210707,UNRESOLVED,15.0,1.11,OBSERVED,1998-06-12,1998-06-12,PASS_HEADER
CB-CUL-05,249055,210334,UNRESOLVED,15.0,,NOT_OBSERVED_DURING_DRILLING,1998-06-22,1998-06-22,PASS_HEADER
CB-CUL-06,249180,209626,UNRESOLVED,30.0,-5.73,OBSERVED,1998-06-22,1998-06-22,PASS_HEADER
CB-CUL-07,249301,208733,UNRESOLVED,21.0,10.06,OBSERVED,1998-06-17,1998-06-17,PASS_HEADER
CB-CUL-08,249555,207932,UNRESOLVED,21.0,5.55,OBSERVED,1998-06-15,1998-06-15,PASS_HEADER
CB-CUL-09,246627,207832,UNRESOLVED,15.0,3.24,OBSERVED,1998-06-16,1998-06-16,PASS_HEADER
CB-CUL-10,247099,207984,UNRESOLVED,15.0,3.69,OBSERVED,1998-06-16,1998-06-16,PASS_HEADER
CB-CUL-11,247805,208506,UNRESOLVED,21.0,5.66,OBSERVED,1998-06-11,1998-06-11,PASS_HEADER
CB-CUL-12,247326,209438,UNRESOLVED,15.0,1.16,OBSERVED,1998-06-11,1998-06-11,PASS_HEADER
CB-CUL-13,247092,210444,UNRESOLVED,15.0,1.97,OBSERVED,1998-06-18,1998-06-18,PASS_HEADER
CB-CUL-14,246988,211306,UNRESOLVED,30.0,2.79,OBSERVED,1998-06-19,1998-06-19,PASS_HEADER
CB-CUL-15,243605,204360,UNRESOLVED,49.5,,N_A,1998-06-23,1998-06-25,PASS_HEADER
