PWSID	PWSName	Size	FacilityID	FacilityName	FacilityWaterType	SamplePointID	SamplePointName	SamplePointType	AssociatedFacilityID	AssociatedSamplePointID	CollectionDate	SampleID	Contaminant	MRL	Units	MethodID	AnalyticalResultsSign	AnalyticalResultValue	SampleEventCode	MonitoringRequirement	Region	State	UCMR1SampleType
PR0002000	SUPERACUEDUCTO	L	2000	SUPERACUEDUCTO	SW	200002	SUPERACUEDUCTO-SALIDA	EP			10/17/2023	3917153	PFHxS	0.003	µg/L	EPA 533	<		SE1	AM	2	PR	
PR0002000	SUPERACUEDUCTO	L	2000	SUPERACUEDUCTO	SW	200002	SUPERACUEDUCTO-SALIDA	EP			10/17/2023	3917153	9Cl-PF3ONS	0.002	µg/L	EPA 533	<		SE1	AM	2	PR	
PR0002000	SUPERACUEDUCTO	L	2000	SUPERACUEDUCTO	SW	200002	SUPERACUEDUCTO-SALIDA	EP			10/17/2023	3917153	PFUnA	0.002	µg/L	EPA 533	<		SE1	AM	2	PR	
PR0002000	SUPERACUEDUCTO	L	2000	SUPERACUEDUCTO	SW	200002	SUPERACUEDUCTO-SALIDA	EP			10/17/2023	3917153	PFDoA	0.003	µg/L	EPA 533	<		SE1	AM	2	PR	
PR0002000	SUPERACUEDUCTO	L	2000	SUPERACUEDUCTO	SW	200002	SUPERACUEDUCTO-SALIDA	EP			10/17/2023	3917153	PFDA	0.003	µg/L	EPA 533	<		SE1	AM	2	PR	
PR0002000	SUPERACUEDUCTO	L	2000	SUPERACUEDUCTO	SW	200002	SUPERACUEDUCTO-SALIDA	EP			10/17/2023	3917153	PFOA	0.004	µg/L	EPA 533	<		SE1	AM	2	PR	
PR0002000	SUPERACUEDUCTO	L	2000	SUPERACUEDUCTO	SW	200002	SUPERACUEDUCTO-SALIDA	EP			10/17/2023	3917153	PFOS	0.004	µg/L	EPA 533	<		SE1	AM	2	PR	
PR0002000	SUPERACUEDUCTO	L	2000	SUPERACUEDUCTO	SW	200002	SUPERACUEDUCTO-SALIDA	EP			10/17/2023	3917153	ADONA	0.003	µg/L	EPA 533	<		SE1	AM	2	PR	
PR0002000	SUPERACUEDUCTO	L	2000	SUPERACUEDUCTO	SW	200002	SUPERACUEDUCTO-SALIDA	EP			10/17/2023	3917153	PFEESA	0.003	µg/L	EPA 533	<		SE1	AM	2	PR	
PR0002000	SUPERACUEDUCTO	L	2000	SUPERACUEDUCTO	SW	200002	SUPERACUEDUCTO-SALIDA	EP			10/17/2023	3917153	11Cl-PF3OUdS	0.005	µg/L	EPA 533	<		SE1	AM	2	PR	
